character,x,y,meaning,pinying
侵,-19.91875115,-15.11239522,to invade,qin1
便,8.428349913,-57.16111766,see 便宜|便宜[pian2 yi5],pian2
促,57.68535343,-24.38311873,urgent,cu4
俄,-5.57344369,-60.98721136,suddenly,e2
俊,12.72546867,-63.46207179,variant of 俊[jun4],jun4
俗,7.987322114,-63.40875254,custom,su2
俘,-2.912547461,-22.64990462,to take prisoner,fu2
保,57.03653039,-24.00638947,to defend,bao3
俞,-17.22747401,-3.089018773,yes (used by Emperor or ruler),yu2
信,-38.59429436,-44.46280763,letter,xin4
俩,65.71731179,-14.32094688,two (colloquial equivalent of 兩個|两个),lia3
俭,-5.051027536,-46.88798528,frugal,jian3
修,-21.69693595,46.18174703,dried meat,xiu1
俯,-20.22262398,-4.459903579,variant of 俯[fu3],fu3
俱,66.66953862,-39.05592088,entirely,ju4
俺,-42.03890818,-70.21017763,I (northern dialects),an3
倍,-25.4627672,-53.00198354,"(two, three etc) -fold",bei4
倒,-3.667547438,-54.36600966,to place upside down,dao4
倘,6.36090984,-57.14512542,if,tang3
候,74.54907828,-17.96381098,to wait,hou4
倚,-84.38143732,-26.12739482,to lean on,yi3
借,-34.1252692,-49.80729506,variant of 借[jie4],jie4
倡,67.00537964,-38.34380784,to initiate,chang4
倦,-43.08184773,-52.93717206,old variant of 倦[juan4],juan4
倪,-8.158593454,-52.33230268,(literary) small child,ni2
债,-53.44992739,-50.08886474,debt,zhai4
值,-65.40468271,-51.96163522,value,zhi2
倾,73.82660411,64.49640715,to overturn,qing1
假,65.65477026,-14.31834436,variant of 假[jia3],jia3
偏,4.579102113,13.32269747,to lean,pian1
做,-13.59556523,-53.29673116,to do,zuo4
停,-49.89910107,-44.55754804,to stop,ting2
健,-45.3293709,-50.64103596,healthy,jian4
偶,8.260532376,-56.97881672,accidental,ou3
偷,-11.53752325,-59.78462228,to steal,tou1
偿,-42.48313497,-51.75441561,to repay,chang2
傅,-55.95150507,-73.77507918,tutor,fu4
傍,-47.20704488,-39.47465779,near,bang4
储,-28.61637905,-45.5457756,to store,chu3
催,23.96457991,-78.83426741,to urge,cui1
傲,-13.65650943,-53.37709378,proud,ao4
傻,-54.44706007,-51.32985582,foolish,sha3
像,-44.8520227,-52.13915062,to resemble,xiang4
僚,-48.85046085,-45.00532273,bureaucrat,liao2
僧,-18.47382311,-68.0767596,monk,seng1
僵,-42.18266881,81.45684671,variant of 僵[jiang1],jiang1
僻,-13.65420808,-50.21462418,biased,pi4
儒,-22.50886354,41.6202465,scholar,ru2
儿,10.9872711,12.01080511,non-syllabic diminutive suffix,r5
兀,10.95218248,11.68318273,cut off the feet,wu4
允,11.65182411,6.971289198,just,yun3
元,34.51523466,2.545162745,currency unit (esp. Chinese yuan),yuan2
兄,45.9323078,-0.448465542,elder brother,xiong1
充,-30.80095847,-7.00990246,to fill,chong1
兆,8.673287689,7.843677982,omen,zhao4
先,-9.845000397,13.05446482,early,xian1
光,-8.692266441,11.99855055,light,guang1
克,-43.15708833,-12.60931127,variant of 剋|克[ke4],ke4
免,-50.5064398,-11.50217239,old variant of 絻[wen4],wen4
兑,5.964379097,2.878393449,to cash,dui4
兔,-51.4680694,-11.58785644,rabbit,tu4
党,8.312618081,-1.981759681,party,dang3
兜,7.703480058,7.044461952,old variant of 兜[dou1],dou1
入,-7.072973631,8.853577478,to enter,ru4
全,7.209287559,-8.981526255,all,quan2
八,9.321481718,18.07065328,eight,ba1
公,-3.142086621,9.341147383,public,gong1
六,-7.393893911,1.422924143,six,liu4
兰,-6.999051047,-11.87927132,orchid (蘭花|兰花 Cymbidium goeringii),lan2
共,-1.741424743,-1.008785526,common,gong4
关,-11.67336571,6.637741694,mountain pass,guan1
兴,-20.66272639,20.91557675,feeling or desire to do sth,xing4
兵,18.20690048,4.335735296,soldiers,bing1
其,-48.82164981,-23.20631105,his,qi2
具,46.44714221,17.71056425,tool,ju4
典,-35.04758232,-1.340994657,canon,dian3
兹,-3.966386371,31.02929761,now,zi1
养,-52.60686572,28.77680529,to raise (animals),yang3
兼,-94.13635004,19.6075185,double,jian1
兽,-83.25300732,51.12061181,beast,shou4
内,73.33945547,10.20092358,inside,nei4
冈,74.03404372,41.19903637,ridge,gang1
册,68.11421088,30.60883317,book,ce4
再,50.82272424,-1.25626814,again,zai4
