character,x,y
叫,79.06059314,51.99560773
召,65.94812683,1.501052592
叭,36.72382504,75.86797016
叮,41.5937346,68.90154732
可,48.76916891,-3.556853593
台,-35.68912068,-26.50177717
史,-36.68490015,19.4451272
右,-14.05479231,19.08414318
叶,31.54726286,71.6708086
号,28.59101556,2.11326096
司,76.14904019,31.19216591
叹,34.91998431,76.71445828
吁,25.70062566,49.85617666
吃,37.46551345,71.97942594
各,6.934091723,-62.59560371
合,-36.25015021,-26.48668704
吉,-44.55544409,-3.399337984
吊,55.16188496,8.529192232
同,72.88140788,39.15403657
名,-34.20326218,-26.24987735
后,-50.24533161,-30.35991582
吐,24.78915579,51.52963209
向,72.71676745,8.422639515
吓,40.97583623,72.67828788
吕,67.85113103,1.189599666
吗,31.4306531,89.97443841
君,56.90739367,33.23870364
吞,60.19318945,0.301877733
吟,26.27828514,80.61914259
否,63.78982433,1.16195348
吧,48.88382729,63.56123961
吨,30.48396635,72.51933037
吩,38.19533641,68.77516073
含,-98.21049547,-16.64843709
听,36.90246825,74.80799452
启,60.22812792,26.07482193
吴,54.71035569,28.35162841
吵,31.5748037,72.77204595
吸,32.95646232,66.76417806
吹,30.25377486,75.84305678
吻,40.58996298,79.69887895
吼,41.49140821,86.64514921
吾,58.23134445,33.61945965
呀,35.78247802,75.16876136
呆,53.89742781,8.821039371
呈,28.68190031,17.57267834
告,-20.55861408,0.876961496
员,47.33761857,10.40861701
呜,-3.370405229,85.95763745
呢,44.6639914,55.1865072
周,64.74443621,35.4307313
味,28.91817801,70.13363493
呵,36.25917257,95.76618125
呼,32.18480044,73.12941843
命,-24.38757495,33.59607176
咋,39.87039236,72.0882614
和,81.56235116,8.813051188
咐,38.00778332,91.38788859
咕,34.87938375,71.28757449
咖,52.96504685,81.04216431
咨,-97.4704825,-16.50852903
咬,33.08420532,78.68722913
咱,37.65850807,80.92208537
咳,33.35980047,78.80829154
咽,30.87311191,87.42311876
哀,-37.75521125,0.020442723
品,70.03890249,0.491279706
哄,37.26161739,77.04765458
哇,28.75522734,71.31491266
哈,37.56752636,80.87204933
响,41.97806787,79.64546208
哎,33.96387669,78.09155975
哑,52.79473841,79.74637965
哗,33.52791204,83.86397766
哟,53.50167435,84.16551389
哥,45.06385919,-8.524509553
哦,42.29934753,88.8970668
哨,29.06505383,86.90826553
哩,31.4179704,99.27189467
哪,53.27782663,81.10493964
哭,49.92306485,7.642307792
哲,-92.72407062,-15.54463926
哼,-7.154417544,74.38404926
唇,-56.00010189,29.59393036
唉,32.23010808,76.66964357
唐,-68.45483239,31.5879512
唤,33.05555842,81.89299296
售,-67.55796537,-24.18187779
唯,35.93671419,87.03562723
唱,27.45723115,93.90467366
商,-66.93109758,7.299469959
啊,48.04202746,89.15289197
啡,41.35209727,86.14240219
啤,-0.658128268,84.95975222
啥,30.44173237,84.0059111
啦,37.8365614,90.57256996
啪,36.95471604,89.76095513
啸,48.61699184,82.96542696
喀,22.6526527,88.07561204
喂,27.50634747,93.83543148
喃,45.81612208,84.83501593
善,-94.15004158,6.316856156
喇,55.38056745,85.70277724
喉,51.11197458,87.75600182
喊,43.5746302,89.0593401
喘,48.49976067,77.02460928
喜,-68.71418283,55.87707276
喝,29.54114646,90.37430366
喧,-4.391774121,88.66814285
喷,32.07221241,81.3375649
喻,50.83961455,82.77028209
嗓,31.84509057,93.30804709
嗤,24.87995647,93.3258501
嗦,46.98366151,83.69463395
嗯,30.41900327,94.4695549
嘉,-83.14333882,52.45584669
嘛,7.642521274,50.40790354
嘱,47.30943874,89.61543762
嘲,55.16252746,85.44069128
嘴,49.83271718,84.68483352
嘻,24.88041844,87.27646504
嘿,30.38199215,93.50543272
器,57.35359658,28.22021405
噪,29.89366384,92.71473622
嚷,-42.19403057,64.77613811
嚼,50.46355681,83.99218336
囊,-91.68372717,39.01775755
囚,80.44280657,43.13557331
四,79.59654824,41.45188859
回,77.80460491,42.20286598
因,80.41755967,43.31645781
团,81.96373559,45.71758829
园,81.47768114,41.38238154
困,82.11063754,46.38578458
围,84.32914552,41.6709159
固,79.60580864,44.4123227
国,82.21654817,43.15369276
图,82.97487331,44.91863994
圆,84.28213703,45.07668671
圈,83.68040274,41.11344386
土,6.541415807,-7.964221866
圣,30.25846543,15.27849216
在,3.896242401,-39.86587397
地,6.883716949,-25.266417
圳,88.65729025,-0.468343571
场,51.04183516,-39.44958967
