character,x,y
二, 1.90537307717, 7.43420455847
于, 1.61207249757, 5.71247501099
亏, 0.45761180568, 7.85431343852
云, 1.52225933926, 6.29187145804
互, 2.48566157175, 6.83929906255
五, 3.29575460806, 6.2310021143
井, 1.45773994589, 6.13637663244
亚, 0.979398606756, 7.36067401943
些, 1.33105809584, 6.92011655447
亡, 2.38984303961, 7.68270284143
交, 0.297763881051, 6.98727955348
亦, 0.844182651495, 7.37359901926
产, 1.78000606279, 6.48381224136
亨, 1.43380591611, 6.49358830362
亩, 1.56470219343, 6.60008386309
享, 1.19250491493, 6.4384293022
京, 1.12204666187, 5.85428655237
亭, 1.91282731827, 7.11363616093
亮, 1.11738034367, 6.89304052136
亲, 1.19325818371, 5.84450544763
人, 2.0940081837, 6.41926222479
亿, 2.31329599848, 7.75356348101
什, 1.01006072238, 7.77301047941
仁, 3.18679064788, 6.79419024924
仅, 2.98876474022, 6.76874786757
仆, 1.77074622422, 8.11942050076
仇, 2.87402548049, 6.52453606989
今, 1.28268920437, 7.03158836782
介, 2.34820463139, 6.30250497129
仍, 2.69048812658, 6.91087586205
从, 1.60080035975, 8.06054297903
仓, 2.53500402569, 7.61820944339
仔, 1.26690048272, 8.23035670571
他, 1.25795124428, 8.03773238897
仗, 2.47661363002, 7.83106808428
付, 2.16068665855, 7.47261185298
仙, 1.59349691245, 8.13312609356
代, 2.82500081482, 6.79501306467
令, 1.83884780019, 6.68975056393
以, 1.02477530856, 6.08443345733
仪, 3.03762021971, 6.75689358042
们, 1.30337349496, 5.53799109107
仰, 1.07366656115, 8.05216239652
仲, 1.09138961235, 8.05235382044
件, 1.05000533266, 8.03343209361
价, 2.92602112097, 6.63268050276
任, 1.18350851692, 7.96661353099
份, 1.97657303667, 6.97255122952
仿, 2.48047815183, 7.60299289752
企, 2.79264408996, 6.66125355364
伊, 2.43350620921, 7.37543848485
伍, 2.47916041709, 7.57118740789
伏, 2.36695920266, 7.60828595826
伐, 2.82103535888, 6.82043181552
休, 1.05064875068, 8.22210338918
众, 1.27063220942, 7.39784651758
优, 2.84888840308, 6.83596071723
伙, 1.71501092275, 8.12656633353
会, 2.44545720297, 6.49960178802
伞, 2.09682265577, 5.97499146392
伟, 2.26368971463, 5.85581392785
传, 2.18799426799, 6.68642380951
伤, 2.08689811812, 6.28819383483
伦, 1.84290843057, 7.9070373658
伪, 10.7990496148, -0.11059562714
伯, 2.68268383192, 7.28295100759
估, 0.750513967986, 7.97415768242
伴, -4.91167044778, 23.1825901772
伸, 1.48556231254, 7.44521876329
似, 2.73302362776, 11.1803065349
但, 14.8915499594, 13.2090211983
位, 0.820252683452, 7.79146696913
低, 1.57666386669, 8.92870851983
住, -99.4860929125, 14.8952816613
佐, 2.36560214426, 7.7326679494
体, 1.72454773065, 8.05347956469
何, 1.01086335173, 7.45481765503
余, 2.23869509764, 6.07962503575
佛, 2.4245716782, 6.07439899841
作, 1.84872894269, 8.88358808263
你, -1.20136387465, 7.48749078235
佣, 1.15887343766, 7.87672262446
佩, 1.81823552569, 4.26658530631
佳, 1.57560953916, 8.07204180784
使, 0.789140083214, 7.99225254247
侄, 1.37299355489, 8.14606220037
例, 2.68868049846, 6.39630237035
侍, -2.08381867051, 10.2959111794
供, 2.43067263317, 6.34675674434
依, 2.56315720154, 7.99226126925
侠, 1.41109734892, 7.50712819122
侣, 0.314872159471, 6.80713709475
侦, 0.774803436032, 7.44139516
侧, -0.421190271739, 7.93755685463
侨, 4.36669847689, 6.09632278189
侮, 0.937634142938, 7.98325896553
侯, 0.109626835352, 5.59292194139
侵, 2.18795830568, -2.6722296466
便, 1.158667949, 6.68666859814
促, 1.50845485623, 7.84686901354
俄, 2.5909073112, 7.23930685568
俊, 2.89019938273, 6.44405485303
俗, 3.19757134651, 7.6336125272
俘, 0.321290883814, 7.28309806577
保, 1.88083423587, 8.02901480588
俞, 0.818073138724, 7.19868529467
信, 8.06590762245, 6.66630926947
俩, 0.998953346127, 5.03754714704
俭, 1.86651552371, 7.96680986664
修, 1.08234199267, 6.33991202928
俯, 0.595843402878, 6.46659645644
俱, 2.08411040269, 8.26651458683
俺, 1.01860744644, 8.10371525113
倍, 2.36683129538, 7.42746442842
倒, 2.47264794467, 6.50454633228
